"","V3","V1","V2.y"
"520","ANG",89760,"Angola"
"521","ANG",91603,"Angola"
"522","ANG",103889,"Angola"
"523","ANG",64325,"Angola"
"524","ANG",92986,"Angola"
"525","ANG",124641,"Angola"
"526","ANG",124455,"Angola"
"527","ANG",124456,"Angola"
"528","ANG",31796,"Angola"
"529","ANG",5899,"Angola"
"530","ANG",44911,"Angola"
"531","ANG",108460,"Angola"
"532","ANG",5907,"Angola"
"533","ANG",112533,"Angola"
"534","ANG",93240,"Angola"
"535","ANG",124899,"Angola"
"536","ANG",33729,"Angola"
"537","ANG",113537,"Angola"
"538","ANG",3301,"Angola"
"539","ANG",64321,"Angola"
"540","ANG",108461,"Angola"
"541","ANG",91604,"Angola"
"542","ANG",33642,"Angola"
"543","ANG",113539,"Angola"
"544","ANG",113716,"Angola"
"545","ANG",31792,"Angola"
"546","ANG",64319,"Angola"
"547","ANG",33644,"Angola"
"548","ANG",124033,"Angola"
"549","ANG",3298,"Angola"
"550","ANG",113538,"Angola"
"551","ANG",64324,"Angola"
"552","ANG",108464,"Angola"
"553","ANG",91606,"Angola"
"554","ANG",6004,"Angola"
"555","ANG",33643,"Angola"
"556","ANG",7252,"Angola"
"557","ANG",33640,"Angola"
"558","ANG",63118,"Angola"
"559","ANG",124440,"Angola"
"560","ANG",64322,"Angola"
"561","ANG",124432,"Angola"
"562","ANG",3302,"Angola"
"563","ANG",6699,"Angola"
"564","ANG",31798,"Angola"
"565","ANG",62012,"Angola"
"566","ANG",31800,"Angola"
"567","ANG",44910,"Angola"
"568","ANG",31790,"Angola"
"569","ANG",31791,"Angola"
"570","ANG",44905,"Angola"
"571","ANG",91602,"Angola"
"572","ANG",89758,"Angola"
"573","ANG",111988,"Angola"
"574","ANG",124976,"Angola"
"575","ANG",111987,"Angola"
"576","ANG",111986,"Angola"
"577","ANG",124451,"Angola"
"578","ANG",122320,"Angola"
"579","ANG",64317,"Angola"
"580","ANG",31795,"Angola"
"581","ANG",64316,"Angola"
"582","ANG",31793,"Angola"
"583","ANG",91600,"Angola"
"584","ANG",31789,"Angola"
"585","ANG",64327,"Angola"
"586","ANG",41066,"Angola"
"587","ANG",3297,"Angola"
"588","ANG",115981,"Angola"
"589","ANG",64318,"Angola"
"590","ANG",89756,"Angola"
"591","ANG",31801,"Angola"
"592","ANG",6567,"Angola"
"593","ANG",34135,"Angola"
"594","ANG",44906,"Angola"
"595","ANG",106442,"Angola"
"596","ANG",124458,"Angola"
"597","ANG",6228,"Angola"
"598","ANG",124665,"Angola"
"599","ANG",64320,"Angola"
"600","ANG",6990,"Angola"
"601","ANG",89759,"Angola"
"602","ANG",64323,"Angola"
"603","ANG",33882,"Angola"
"604","ANG",108748,"Angola"
"605","ANG",91605,"Angola"
"606","ANG",108749,"Angola"
"607","ANG",111985,"Angola"
"608","ANG",7260,"Angola"
"609","ANG",112543,"Angola"
"610","ANG",44907,"Angola"
"611","ANG",124433,"Angola"
"612","ANG",111989,"Angola"
"613","ANG",7301,"Angola"
"614","ANG",124436,"Angola"
"615","ANG",44903,"Angola"
"616","ANG",7300,"Angola"
"617","ANG",89761,"Angola"
"618","ANG",44908,"Angola"
"619","ANG",113540,"Angola"
"620","ANG",124425,"Angola"
"621","ANG",44904,"Angola"
"622","ANG",44909,"Angola"
"623","ANG",62086,"Angola"
"624","ANG",7163,"Angola"
"625","ANG",83230,"Angola"
"626","ANT",14812,"Antigua and Barbuda"
"627","ANT",64353,"Antigua and Barbuda"
"628","ANT",64354,"Antigua and Barbuda"
"629","ANT",3303,"Antigua and Barbuda"
"630","ANT",64341,"Antigua and Barbuda"
"631","ANT",64329,"Antigua and Barbuda"
"632","ANT",64350,"Antigua and Barbuda"
"633","ANT",61455,"Antigua and Barbuda"
"634","ANT",64358,"Antigua and Barbuda"
"635","ANT",64328,"Antigua and Barbuda"
"636","ANT",16105,"Antigua and Barbuda"
"637","ANT",64342,"Antigua and Barbuda"
"638","ANT",14278,"Antigua and Barbuda"
"639","ANT",64331,"Antigua and Barbuda"
"640","ANT",121144,"Antigua and Barbuda"
"641","ANT",64333,"Antigua and Barbuda"
"642","ANT",64336,"Antigua and Barbuda"
"643","ANT",64347,"Antigua and Barbuda"
"644","ANT",102439,"Antigua and Barbuda"
"645","ANT",64349,"Antigua and Barbuda"
"646","ANT",64359,"Antigua and Barbuda"
"647","ANT",64356,"Antigua and Barbuda"
"648","ANT",64348,"Antigua and Barbuda"
"649","ANT",64339,"Antigua and Barbuda"
"650","ANT",61076,"Antigua and Barbuda"
"651","ANT",13928,"Antigua and Barbuda"
"652","ANT",64344,"Antigua and Barbuda"
"653","ANT",120123,"Antigua and Barbuda"
"654","ANT",105523,"Antigua and Barbuda"
"655","ANT",61030,"Antigua and Barbuda"
"656","ANT",16655,"Antigua and Barbuda"
"657","ANT",64337,"Antigua and Barbuda"
"658","ANT",64351,"Antigua and Barbuda"
"659","ANT",64357,"Antigua and Barbuda"
"660","ANT",15348,"Antigua and Barbuda"
"661","ANT",64352,"Antigua and Barbuda"
"662","ANT",64346,"Antigua and Barbuda"
"663","ANT",64335,"Antigua and Barbuda"
"664","ANT",15493,"Antigua and Barbuda"
"665","ANT",104115,"Antigua and Barbuda"
"666","ANT",102441,"Antigua and Barbuda"
"667","ANT",61972,"Antigua and Barbuda"
"668","ANT",103866,"Antigua and Barbuda"
"669","ANT",64343,"Antigua and Barbuda"
"670","ANT",15408,"Antigua and Barbuda"
"671","ANT",64355,"Antigua and Barbuda"
"672","ANT",16296,"Antigua and Barbuda"
"673","ANT",14528,"Antigua and Barbuda"
"674","ANT",115893,"Antigua and Barbuda"
"675","ANT",64338,"Antigua and Barbuda"
"676","ANT",102440,"Antigua and Barbuda"
"677","ANT",62071,"Antigua and Barbuda"
"678","ANT",64345,"Antigua and Barbuda"
"679","ANT",3304,"Antigua and Barbuda"
"680","ANT",64332,"Antigua and Barbuda"
"681","ANT",114955,"Antigua and Barbuda"
"682","ANT",64330,"Antigua and Barbuda"
"683","ANT",62464,"Antigua and Barbuda"
"684","ANT",105492,"Antigua and Barbuda"
"685","ANT",64334,"Antigua and Barbuda"
"686","ANT",61438,"Antigua and Barbuda"
"687","ANT",64340,"Antigua and Barbuda"
"688","ANT",63497,"Antigua and Barbuda"
"689","ARG",61541,"Argentina"
"690","ARG",111140,"Argentina"
"691","ARG",57112,"Argentina"
"692","ARG",2273,"Argentina"
"693","ARG",53362,"Argentina"
"694","ARG",123643,"Argentina"
"695","ARG",107340,"Argentina"
"696","ARG",57115,"Argentina"
"697","ARG",124143,"Argentina"
"698","ARG",4989,"Argentina"
"699","ARG",2272,"Argentina"
"700","ARG",14417,"Argentina"
"701","ARG",57117,"Argentina"
"702","ARG",117567,"Argentina"
"703","ARG",57113,"Argentina"
"704","ARG",2271,"Argentina"
"705","ARG",111387,"Argentina"
"706","ARG",8973,"Argentina"
"707","ARG",17440,"Argentina"
"708","ARG",57110,"Argentina"
"709","ARG",108481,"Argentina"
"710","ARG",123388,"Argentina"
"711","ARG",33440,"Argentina"
"712","ARG",123386,"Argentina"
"713","ARG",104218,"Argentina"
"714","ARG",123384,"Argentina"
"715","ARG",90288,"Argentina"
"716","ARG",3310,"Argentina"
"717","ARG",61526,"Argentina"
"718","ARG",57099,"Argentina"
"719","ARG",6784,"Argentina"
"720","ARG",33899,"Argentina"
"721","ARG",94406,"Argentina"
"722","ARG",61525,"Argentina"
"723","ARG",51997,"Argentina"
"724","ARG",111386,"Argentina"
"725","ARG",3344,"Argentina"
"726","ARG",17354,"Argentina"
"727","ARG",62075,"Argentina"
"728","ARG",64360,"Argentina"
"729","ARG",124138,"Argentina"
"730","ARG",124139,"Argentina"
"731","ARG",108024,"Argentina"
"732","ARG",123387,"Argentina"
"733","ARG",90098,"Argentina"
"734","ARG",17352,"Argentina"
"735","ARG",33386,"Argentina"
"736","ARG",123680,"Argentina"
"737","ARG",51995,"Argentina"
"738","ARG",53359,"Argentina"
"739","ARG",35236,"Argentina"
"740","ARG",92755,"Argentina"
"741","ARG",51996,"Argentina"
"742","ARG",17443,"Argentina"
"743","ARG",53367,"Argentina"
"744","ARG",93935,"Argentina"
"745","ARG",62042,"Argentina"
"746","ARG",17438,"Argentina"
"747","ARG",61527,"Argentina"
"748","ARG",41067,"Argentina"
"749","ARG",51998,"Argentina"
"750","ARG",53356,"Argentina"
"751","ARG",17379,"Argentina"
"752","ARG",16730,"Argentina"
"753","ARG",123382,"Argentina"
"754","ARG",103931,"Argentina"
"755","ARG",12452,"Argentina"
"756","ARG",114429,"Argentina"
"757","ARG",53363,"Argentina"
"758","ARG",33706,"Argentina"
"759","ARG",17353,"Argentina"
"760","ARG",4979,"Argentina"
"761","ARG",123929,"Argentina"
"762","ARG",111388,"Argentina"
"763","ARG",11970,"Argentina"
"764","ARG",17355,"Argentina"
"765","ARG",51987,"Argentina"
"766","ARG",23909,"Argentina"
"767","ARG",62443,"Argentina"
"768","ARG",14499,"Argentina"
"769","ARG",17434,"Argentina"
"770","ARG",113115,"Argentina"
"771","ARG",57111,"Argentina"
"772","ARG",90097,"Argentina"
"773","ARG",34016,"Argentina"
"774","ARG",124131,"Argentina"
"775","ARG",11993,"Argentina"
"776","ARG",108476,"Argentina"
"777","ARG",23910,"Argentina"
"778","ARG",12359,"Argentina"
"779","ARG",108478,"Argentina"
"780","ARG",63160,"Argentina"
"781","ARG",111383,"Argentina"
"782","ARG",35211,"Argentina"
"783","ARG",35201,"Argentina"
"784","ARG",3333,"Argentina"
"785","ARG",13796,"Argentina"
"786","ARG",53358,"Argentina"
"787","ARG",123681,"Argentina"
